Date,UIUC_Tests,UIUC_Confirmed,B10_Tests,B10_Confirmed,Illinois_Tests,Illinois_Confirmed,Illinois_Deaths,US_Tests,US_Confirmed,US_Deaths,IL-UIUC_Tests,IL-UIUC_Confirmed,pctIL_Tests,pctUS_Tests,pctIL_Confirmed,pctUS_Confirmed,ILxUIUC_pctPos,Illinois_pctPos
2020-09-16,325937.0,2093.0,611061.0,16520.0,4865233.0,268238,8599,90709159.0,6637539,196764,4539296.0,266145.0,6.699309159499658,0.35932093692986394,0.7802772165017634,0.03153277140819813,5.863133842780907,5.513363902612681
2020-09-17,333739.0,2111.0,625705.0,16742.0,4923033.0,270294,8624,91545027.0,6682274,197634,4589294.0,268183.0,6.779133920085443,0.36456267580761104,0.781001428074615,0.03159104221107964,5.843665714159956,5.49039585962556
2020-09-18,344303.0,2138.0,651177.0,17632.0,4985054.0,272517,8647,93148481.0,6730997,198570,4640751.0,270379.0,6.906705524152797,0.3696281424063158,0.7845382122950127,0.03176349655184811,5.826190631645611,5.46668100285373
2020-09-19,348436.0,2151.0,659219.0,17785.0,5059340.0,275041,8672,94209892.0,6775048,199282,4710904.0,272890.0,6.886985258946819,0.3698507583471171,0.7820652193672943,0.03174885255425497,5.792731076668088,5.436301968240917
2020-09-20,352819.0,2162.0,668878.0,17954.0,5107351.0,276443,8686,95106988.0,6811262,199509,4754532.0,274281.0,6.908062516165425,0.37097063782526685,0.7820780414045572,0.03174154804205153,5.768832768398656,5.412649336221458
2020-09-21,363293.0,2204.0,700012.0,18323.0,5145585.0,277920,8693,95839710.0,6863731,199865,4782292.0,275716.0,7.060285662368807,0.3790631252953499,0.7930339666090962,0.03211081553166929,5.765352680262937,5.401135147898636
2020-09-22,374323.0,2266.0,716644.0,18546.0,5187414.0,279453,8722,96610865.0,6902703,200786,4813091.0,277187.0,7.215984689095569,0.3874543510194221,0.8108698063717333,0.03282771980773329,5.7590226322336315,5.387135092745634
2020-09-23,383994.0,2294.0,733418.0,18716.0,5233805.0,281303,8744,97458171.0,6941151,201884,4849811.0,279009.0,7.336803721193281,0.39400903593809494,0.8154907697393914,0.033049273816403074,5.752987075166434,5.374732149936805
2020-09-24,393080.0,2321.0,751528.0,18908.0,5295876.0,283559,8774,98479455.0,6985291,202798,4902796.0,281238.0,7.422379224891217,0.3991492438702062,0.8185245398664828,0.03322696219813892,5.7362778300382065,5.35433609095077
2020-09-25,404170.0,2362.0,770051.0,19129.0,5365960.0,286332,8807,99482141.0,7035882,203750,4961790.0,283970.0,7.53210981818724,0.40627392609091517,0.824916530461143,0.03357077335862085,5.723136206893077,5.336081521293487
2020-09-26,408062.0,2379.0,778943.0,19245.0,5431177.0,288773,8832,100490965.0,7080757,204490,5023115.0,286394.0,7.513325380483825,0.4060683465423981,0.8238304827667406,0.03359810257575567,5.701521864420783,5.316950635193808
2020-09-27,412470.0,2407.0,784616.0,19328.0,5481999.0,290373,8845,101297223.0,7117181,204756,5069529.0,287966.0,7.5240801758628555,0.4071878653573751,0.8289338196044398,0.03381956985497488,5.680330460679878,5.296845183663843
2020-09-28,423206.0,2443.0,802100.0,19449.0,5523141.0,292082,8858,102340845.0,7150498,205072,5099935.0,289639.0,7.662415281449451,0.41352599736693596,0.8364089536500025,0.03416545253211734,5.679268461264702,5.288331404177442
2020-09-29,433843.0,2479.0,818771.0,19561.0,5568765.0,293448,8881,103153618.0,7192602,205986,5134922.0,290969.0,7.7906501710882035,0.42057952829148465,0.8447834028516126,0.03446596933905143,5.666473609530972,5.269534627516155
2020-09-30,444197.0,2511.0,832274.0,19648.0,5627311.0,295720,8916,103938096.0,7234007,206932,5183114.0,293209.0,7.8935925169232695,0.4273668819178677,0.8491140267820911,0.03471105294755728,5.657004650100307,5.25508542179382
